Date	Number	Color	Category	Word 1	Word 2	Word 3	Word 4
Jun 12, 2023	1	Blue	 KEYBOARD KEYS: 	OPTION 	RETURN 	SHIFT 	TAB
Jun 12, 2023	1	Green	 NBA TEAMS: 	BUCKS 	HEAT 	JAZZ 	NETS
Jun 12, 2023	1	Purple	 PALINDROMES: 	KAYAK 	LEVEL 	MOM 	RACE CAR
Jun 12, 2023	1	Yellow	 WET WEATHER: 	HAIL 	RAIN 	SLEET 	SNOW
Jun 13, 2023	2	Blue	 MAGAZINES: 	ESSENCE 	PEOPLE 	TIME 	US
Jun 13, 2023	2	Green	 UNITS OF LENGTH: 	FOOT 	LEAGUE 	MILE 	YARD
Jun 13, 2023	2	Purple	 LETTER HOMOPHONES: 	ARE 	QUEUE 	SEA 	WHY
Jun 13, 2023	2	Yellow	 FOOTWEAR: 	BOOT 	LOAFER 	PUMP 	SNEAKER
Jun 14, 2023	3	Blue	 DOG BREEDS, INFORMALLY: 	LAB 	PEKE 	PIT 	POM
Jun 14, 2023	3	Green	 SYNONYMS FOR EAT: 	CHOW 	GOBBLE 	SCARF 	WOLF
Jun 14, 2023	3	Purple	 MEMBERS OF A TRIO: 	AMIGO 	KING 	STOOGE 	TENOR
Jun 14, 2023	3	Yellow	 FACIAL FEATURES: 	CHEEK 	EYE 	MOUTH 	NOSE
Jun 15, 2023	4	Blue	 CLEANING VERBS: 	DUST 	MOP 	SWEEP 	VACUUM
Jun 15, 2023	4	Green	 MUSICALS BEGINNING WITH "C": 	CABARET 	CAROUSEL 	CATS 	CHICAGO
Jun 15, 2023	4	Purple	 ___ MAN SUPERHEROES: 	BAT 	IRON 	SPIDER 	SUPER
Jun 15, 2023	4	Yellow	 SNEAKER BRANDS: 	ADIDAS 	NIKE 	PUMA 	REEBOK
Jun 16, 2023	5	Blue	 SYNONYMS FOR SAD: 	BLUE 	DOWN 	GLUM 	LOW
Jun 16, 2023	5	Green	 CONDIMENTS: 	KETCHUP 	MAYO 	RELISH 	TARTAR
Jun 16, 2023	5	Purple	 CLUE CHARACTERS: 	GREEN 	MUSTARD 	PLUM 	SCARLET
Jun 16, 2023	5	Yellow	 STREAMING SERVICES: 	HULU 	NETFLIX 	PEACOCK 	PRIME
Jun 17, 2023	6	Blue	 RAPPERS: 	COMMON 	FUTURE 	ICE CUBE 	Q-TIP
Jun 17, 2023	6	Green	 SHADES OF BLUE: 	BABY 	MIDNIGHT 	POWDER 	ROYAL
Jun 17, 2023	6	Purple	 MEMBERS OF A SEPTET: 	SEA 	SIN 	SISTER 	WONDER
Jun 17, 2023	6	Yellow	 MONOPOLY SQUARES: 	BOARDWALK 	CHANCE 	GO 	JAIL
Jun 18, 2023	7	Blue	 SLANG FOR TOILET: 	CAN 	HEAD 	JOHN 	THRONE
Jun 18, 2023	7	Green	 BABY ANIMALS: 	CALF 	CUB 	JOEY 	KID
Jun 18, 2023	7	Purple	 ___ FISH THAT AREN'T FISH: 	CRAY 	JELLY 	SILVER 	STAR
Jun 18, 2023	7	Yellow	 LEG PARTS: 	ANKLE 	KNEE 	SHIN 	THIGH
Jun 19, 2023	8	Blue	 THINGS THAT ARE RED: 	CHERRY 	FIRE TRUCK 	RUBY 	STOP SIGN
Jun 19, 2023	8	Green	 MATTRESS SIZES: 	FULL 	KING 	QUEEN 	TWIN
Jun 19, 2023	8	Purple	 THINGS WITH KEYS: 	CRYPTOGRAPHY 	FLORIDA 	LOCKSMITH 	PIANO
Jun 19, 2023	8	Yellow	 BOARD GAMES: 	BACKGAMMON 	CHECKERS 	CHESS 	GO
Jun 20, 2023	9	Blue	 VEGETABLES: 	BEET 	CARROT 	CORN 	ONION
Jun 20, 2023	9	Green	 TOPS: 	CAMI 	HALTER 	TANK 	TEE
Jun 20, 2023	9	Purple	 INSECTS: 	ANT 	BEETLE 	MANTIS 	TERMITE
Jun 20, 2023	9	Yellow	 SPORTS: 	CRICKET 	FENCING 	POLO 	SQUASH
Jun 21, 2023	10	Blue	 BIRDS: 	CRANE 	JAY 	SWALLOW 	TURKEY
Jun 21, 2023	10	Green	 COUNTRIES: 	CHAD 	GEORGIA 	JORDAN 	TOGO
Jun 21, 2023	10	Purple	 ZODIAC SYMBOLS: 	FISH 	GOAT 	SCALES 	TWINS
Jun 21, 2023	10	Yellow	 FRUIT: 	DATE 	KIWI 	LEMON 	ORANGE
Jun 22, 2023	11	Blue	 THINGS WITH WINGS: 	AIRPLANE 	ANGEL 	BIRD 	PEGASUS
Jun 22, 2023	11	Green	 TERMS OF ENDEARMENT: 	BOO 	HONEY 	SUGAR 	SWEETIE
Jun 22, 2023	11	Purple	 SPICE GIRLS: 	BABY 	GINGER 	POSH 	SCARY
Jun 22, 2023	11	Yellow	 SPICES BEGINNING WITH "C": 	CARDAMOM 	CLOVE 	CORIANDER 	CUMIN
Jun 23, 2023	12	Blue	 SLOW ANIMALS: 	LORIS 	SLOTH 	SNAIL 	TORTOISE
Jun 23, 2023	12	Green	 DEADLY SINS: 	ENVY 	GREED 	LUST 	PRIDE
Jun 23, 2023	12	Purple	 TRIG FUNCTIONS: 	COT 	SEC 	SIN 	TAN
Jun 23, 2023	12	Yellow	 ANIMAL GROUP NAMES: 	FLOCK 	PACK 	POD 	SCHOOL
Jun 24, 2023	13	Blue	 SILENT "G": 	GNAT 	GNAW 	GNOCCHI 	GNOME
Jun 24, 2023	13	Green	 GREEK LETTERS: 	BETA 	CHI 	DELTA 	IOTA
Jun 24, 2023	13	Purple	 HOMOPHONES: 	GNU 	KNEW 	NEW 	NU
Jun 24, 2023	13	Yellow	 AIRLINES: 	FRONTIER 	SPIRIT 	UNITED 	VIRGIN
Jun 25, 2023	14	Blue	 HONDAS: 	ACCORD 	CIVIC 	PASSPORT 	PILOT
Jun 25, 2023	14	Green	 FAMOUS BROTHERS: 	JONAS 	MARX 	WARNER 	WRIGHT
Jun 25, 2023	14	Purple	 VIDEO GAME CHARACTERS: 	CRASH 	LINK 	MARIO 	SONIC
Jun 25, 2023	14	Yellow	 BEDS: 	BUNK 	CANOPY 	MURPHY 	TRUNDLE
Jun 26, 2023	15	Blue	 FISHING GEAR: 	LURE 	REEL 	ROD 	TACKLE
Jun 26, 2023	15	Green	 COLORS: 	BROWN 	PINK 	TURQUOISE 	VIOLET
Jun 26, 2023	15	Purple	 FICTIONAL PIRATES: 	HOOK 	JONES 	SILVER 	SPARROW
Jun 26, 2023	15	Yellow	 BIRD SOUNDS: 	CAW 	CHIRP 	CLUCK 	TWEET
Jun 27, 2023	16	Blue	 SHADES OF GREEN: 	EMERALD 	FOREST 	KELLY 	OLIVE
Jun 27, 2023	16	Green	 TREE NUTS: 	ALMOND 	CASHEW 	PECAN 	WALNUT
Jun 27, 2023	16	Purple	 MR. ___: 	BEAN 	CLEAN 	FOX 	PEANUT
Jun 27, 2023	16	Yellow	 COFFEE DRINKS: 	AMERICANO 	CAPPUCCINO 	ESPRESSO 	LATTE
Jun 28, 2023	17	Blue	 DETERGENTS: 	ALL 	ERA 	GAIN 	TIDE
Jun 28, 2023	17	Green	 SHIP DIRECTIONS: 	BOW 	PORT 	STARBOARD 	STERN
Jun 28, 2023	17	Purple	 ___ TRIANGLE: 	ACUTE 	BERMUDA 	LOVE 	RIGHT
Jun 28, 2023	17	Yellow	 NECKWEAR: 	ASCOT 	BOLO 	SCARF 	TIE
Jun 29, 2023	18	Blue	 TITLE TV DOCTORS: 	GREY 	HOUSE 	HOWSER 	QUINN
Jun 29, 2023	18	Green	 AWARDS: 	CUP 	MEDAL 	RIBBON 	TROPHY
Jun 29, 2023	18	Purple	 NFL PLAYERS: 	BEAR 	BILL 	BROWN 	COMMANDER
Jun 29, 2023	18	Yellow	 MUSCLES, INFORMALLY: 	LAT 	PEC 	QUAD 	TRI
Jun 30, 2023	19	Blue	 KINDS OF MEAT: 	BEEF 	PORK 	POULTRY 	VENISON
Jun 30, 2023	19	Green	 ANTI-VAMPIRE: 	CRUCIFIX 	GARLIC 	MIRROR 	STAKE
Jun 30, 2023	19	Purple	 SYNONYMS FOR ARGUMENT: 	ROW 	QUARREL 	SPAT 	TIFF
Jun 30, 2023	19	Yellow	 OFF-WHITE SHADES: 	CREAM 	EGGSHELL 	IVORY 	VANILLA
Jul 1, 2023	20	Blue	 UNIVERSITIES: 	BROWN 	DUKE 	HOWARD 	RICE
Jul 1, 2023	20	Green	 ROYAL TITLES: 	BARON 	EARL 	KING 	PRINCE
Jul 1, 2023	20	Purple	 BEST DIRECTOR OSCAR WINNERS: 	BONG 	FORD 	LEE 	STONE
Jul 1, 2023	20	Yellow	 GRAINS: 	BARLEY 	OAT 	RYE 	SPELT
Jul 2, 2023	21	Blue	 LITTLE WOMEN SISTERS: 	AMY 	BETH 	JO 	MEG
Jul 2, 2023	21	Green	 WEB BROWSERS: 	CHROME 	EDGE 	OPERA 	SAFARI
Jul 2, 2023	21	Purple	 LIL ___ RAPPERS: 	BABY 	JON 	KIM 	WAYNE
Jul 2, 2023	21	Yellow	 MUSIC GENRES: 	JAZZ 	POP 	PUNK 	RAP
Jul 3, 2023	22	Blue	 TRAFFIC SIGNS: 	DETOUR 	SLOW 	STOP 	YIELD
Jul 3, 2023	22	Green	 ANIMAL NOSES: 	BEAK 	MUZZLE 	SNOUT 	TRUNK
Jul 3, 2023	22	Purple	 SOUND ___: 	ASLEEP 	BARRIER 	BITE 	WAVE
Jul 3, 2023	22	Yellow	 DOG BREEDS: 	BOXER 	DALMATIAN 	HUSKY 	POODLE
Jul 4, 2023	23	Blue	 MAGAZINES: 	FORTUNE 	ROLLING STONE 	VOGUE 	WIRED
Jul 4, 2023	23	Green	 DANCE FADS: 	DOUGIE 	MACARENA 	MASHED POTATO 	TWIST
Jul 4, 2023	23	Purple	 THINGS WITH LINKS: 	CHAIN 	GOLF COURSE 	SAUSAGE 	WEBSITE
Jul 4, 2023	23	Yellow	 60's BAND MEMBERS: 	BEACH BOY 	BEATLE 	BYRD 	MONKEE
Jul 5, 2023	24	Blue	 EAR PARTS: 	ANVIL 	COCHLEA 	HAMMER 	STIRRUP
Jul 5, 2023	24	Green	 VIDEO GAME CONSOLES: 	DREAMCAST 	GENESIS 	SWITCH 	WII
Jul 5, 2023	24	Purple	 BAND NAMES MINUS NUMBERS: 	BLINK 	MAROON 	SUM 	U
Jul 5, 2023	24	Yellow	 CANDY BARS: 	BOUNTY 	CRUNCH 	HEATH 	MILKY WAY
Jul 6, 2023	25	Blue	 ANIMALS WITH TUSKS: 	ELEPHANT 	HIPPO 	NARWHAL 	WARTHOG
Jul 6, 2023	25	Green	 MILD OATHS: 	DARN 	FUDGE 	HECK 	SHOOT
Jul 6, 2023	25	Purple	 MUSTACHES: 	HANDLEBAR 	HORSESHOE 	PENCIL 	WALRUS
Jul 6, 2023	25	Yellow	 DESSERTS: 	CHEESECAKE 	FLAN 	MOUSSE 	TIRAMISU
Jul 7, 2023	26	Blue	 TOMS: 	CRUISE 	HOLLAND 	PETTY 	WAITS
Jul 7, 2023	26	Green	 SYNONYMS FOR IMITATE: 	COPY 	ECHO 	MIMIC 	PARROT
Jul 7, 2023	26	Purple	 WORDS SPELLED WITH ROMAN NUMERALS: 	DILL 	LIVID 	MILD 	MIX
Jul 7, 2023	26	Yellow	 EUROPEAN COUNTRIES: 	DENMARK 	GREECE 	POLAND 	PORTUGAL
